id,name,base_experience,height,weight,types,abilities,moves,hp,attack,defense,special-attack,special-defense,speed
111,Rhyhorn,69,10,1150,"ground, rock","lightning-rod, rock-head, reckless","swords-dance, stomp, sand-attack, headbutt, horn-attack",80,85,95,30,30,25
112,Rhydon,170,19,1200,"ground, rock","lightning-rod, rock-head, reckless","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch",105,130,120,45,45,40
113,Chansey,395,11,346,normal,"natural-cure, serene-grace, healer","pound, double-slap, mega-punch, fire-punch, ice-punch",250,5,5,35,105,50
114,Tangela,87,10,350,grass,"chlorophyll, leaf-guard, regenerator","swords-dance, cut, bind, slam, vine-whip",65,55,115,100,40,60
115,Kangaskhan,172,22,800,normal,"early-bird, scrappy, inner-focus","pound, comet-punch, mega-punch, fire-punch, ice-punch",105,95,80,40,80,90
116,Horsea,59,4,80,water,"swift-swim, sniper, damp","razor-wind, headbutt, take-down, double-edge, leer",30,40,70,70,25,60
117,Seadra,154,12,250,water,"poison-point, sniper, damp","headbutt, take-down, double-edge, leer, disable",55,65,95,95,45,85
118,Goldeen,64,6,150,water,"swift-swim, water-veil, lightning-rod","swords-dance, headbutt, horn-attack, fury-attack, horn-drill",45,67,60,35,50,63
119,Seaking,158,13,390,water,"swift-swim, water-veil, lightning-rod","swords-dance, headbutt, horn-attack, fury-attack, horn-drill",80,92,65,65,80,68
120,Staryu,68,8,345,water,"illuminate, natural-cure, analytic","headbutt, tackle, take-down, double-edge, supersonic",30,45,55,70,55,85
121,Starmie,182,11,800,"water, psychic","illuminate, natural-cure, analytic","headbutt, tackle, take-down, double-edge, water-gun",60,75,85,100,85,115
122,Mr-Mime,161,13,545,"psychic, fairy","soundproof, filter, technician","pound, double-slap, mega-punch, fire-punch, ice-punch",40,45,65,100,120,90
123,Scyther,100,15,560,"bug, flying","swarm, technician, steadfast","razor-wind, swords-dance, cut, wing-attack, headbutt",70,110,80,55,80,105
124,Jynx,159,14,406,"ice, psychic","oblivious, forewarn, dry-skin","pound, double-slap, mega-punch, ice-punch, mega-kick",65,50,35,115,95,95
125,Electabuzz,172,11,300,electric,"static, vital-spirit","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",65,83,57,95,85,105
126,Magmar,173,13,445,fire,"flame-body, vital-spirit","mega-punch, fire-punch, thunder-punch, mega-kick, headbutt",65,95,57,100,85,93
127,Pinsir,175,15,550,bug,"hyper-cutter, mold-breaker, moxie","vice-grip, guillotine, swords-dance, cut, bind",65,125,100,55,70,85
128,Tauros,172,14,884,normal,"intimidate, anger-point, sheer-force","stomp, headbutt, horn-attack, horn-drill, tackle",75,100,95,40,70,110
129,Magikarp,40,9,100,water,"swift-swim, rattled","tackle, hydro-pump, splash, flail, bounce",20,10,55,15,20,80
130,Gyarados,189,65,2350,"water, flying","intimidate, moxie","bind, headbutt, tackle, body-slam, take-down",95,125,79,60,100,81
131,Lapras,187,25,2200,"water, ice","water-absorb, shell-armor, hydration","headbutt, horn-drill, body-slam, take-down, double-edge",130,85,80,85,95,60
132,Ditto,101,3,40,normal,"limber, imposter",transform,48,48,48,48,48,48
133,Eevee,65,3,65,normal,"run-away, adaptability, anticipation","pay-day, double-kick, sand-attack, headbutt, tackle",55,55,50,45,65,55
134,Vaporeon,184,10,290,water,"water-absorb, hydration","pay-day, double-kick, sand-attack, headbutt, tackle",130,65,60,110,95,65
135,Jolteon,184,8,245,electric,"volt-absorb, quick-feet","pay-day, double-kick, sand-attack, headbutt, tackle",65,65,60,110,95,130
136,Flareon,184,9,250,fire,"flash-fire, guts","pay-day, double-kick, sand-attack, headbutt, tackle",65,130,60,95,110,65
137,Porygon,79,8,365,normal,"trace, download, analytic","headbutt, tackle, take-down, double-edge, ice-beam",65,60,70,85,75,40
138,Omanyte,71,4,75,"rock, water","swift-swim, shell-armor, weak-armor","bind, slam, sand-attack, headbutt, horn-attack",35,40,100,90,55,35
139,Omastar,173,10,350,"rock, water","swift-swim, shell-armor, weak-armor","bind, sand-attack, headbutt, horn-attack, horn-drill",70,60,125,115,70,55
140,Kabuto,71,5,115,"rock, water","swift-swim, battle-armor, weak-armor","scratch, sand-attack, headbutt, body-slam, take-down",30,80,90,55,45,55
141,Kabutops,173,13,405,"rock, water","swift-swim, battle-armor, weak-armor","scratch, razor-wind, swords-dance, cut, mega-kick",60,115,105,65,70,80
142,Aerodactyl,180,18,590,"rock, flying","rock-head, pressure, unnerve","razor-wind, wing-attack, whirlwind, fly, headbutt",80,105,65,60,75,130
143,Snorlax,189,21,4600,normal,"immunity, thick-fat, gluttony","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch",160,110,65,65,110,30
144,Articuno,261,17,554,"ice, flying","pressure, snow-cloak","razor-wind, gust, whirlwind, fly, headbutt",90,85,100,95,125,85
145,Zapdos,261,16,526,"electric, flying","pressure, static","razor-wind, whirlwind, fly, headbutt, take-down",90,90,85,125,90,100
146,Moltres,261,20,600,"fire, flying","pressure, flame-body","razor-wind, gust, wing-attack, whirlwind, fly",90,100,90,125,85,90
147,Dratini,60,18,33,dragon,"shed-skin, marvel-scale","bind, slam, headbutt, body-slam, wrap",41,64,45,50,50,50
148,Dragonair,147,40,165,dragon,"shed-skin, marvel-scale","bind, slam, headbutt, horn-drill, body-slam",61,84,65,70,70,70
149,Dragonite,270,22,2100,"dragon, flying","inner-focus, multiscale","mega-punch, fire-punch, ice-punch, thunder-punch, razor-wind",91,134,95,100,100,80
150,Mewtwo,306,20,1220,psychic,"pressure, unnerve","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch",106,110,90,154,90,130
151,Mew,270,4,40,psychic,synchronize,"pound, mega-punch, pay-day, fire-punch, ice-punch",100,100,100,100,100,100
152,Chikorita,64,9,64,grass,"overgrow, leaf-guard","swords-dance, cut, vine-whip, headbutt, tackle",45,49,65,49,65,45
153,Bayleef,142,12,158,grass,"overgrow, leaf-guard","swords-dance, cut, vine-whip, headbutt, tackle",60,62,80,63,80,60
154,Meganium,236,18,1005,grass,"overgrow, leaf-guard","swords-dance, cut, vine-whip, headbutt, tackle",80,82,100,83,100,80
155,Cyndaquil,62,5,79,fire,"blaze, flash-fire","cut, double-kick, headbutt, tackle, body-slam",39,52,43,60,50,65
156,Quilava,142,9,190,fire,"blaze, flash-fire","cut, double-kick, headbutt, tackle, body-slam",58,64,58,80,65,80
157,Typhlosion,240,17,795,fire,"blaze, flash-fire","mega-punch, fire-punch, thunder-punch, cut, double-kick",78,84,78,109,85,100
158,Totodile,63,6,95,water,"torrent, sheer-force","mega-punch, ice-punch, scratch, razor-wind, swords-dance",50,65,64,44,48,43
159,Croconaw,142,11,250,water,"torrent, sheer-force","mega-punch, ice-punch, scratch, swords-dance, cut",65,80,80,59,63,58
160,Feraligatr,239,23,888,water,"torrent, sheer-force","mega-punch, ice-punch, scratch, swords-dance, cut",85,105,100,79,83,78
161,Sentret,43,8,60,normal,"run-away, keen-eye, frisk","fire-punch, ice-punch, thunder-punch, scratch, cut",35,46,34,35,45,20
162,Furret,145,18,325,normal,"run-away, keen-eye, frisk","fire-punch, ice-punch, thunder-punch, scratch, cut",85,76,64,45,55,90
163,Hoothoot,52,7,212,"normal, flying","insomnia, keen-eye, tinted-lens","wing-attack, whirlwind, fly, tackle, take-down",60,30,30,36,56,50
164,Noctowl,158,16,408,"normal, flying","insomnia, keen-eye, tinted-lens","wing-attack, whirlwind, fly, tackle, body-slam",100,50,50,86,96,70
165,Ledyba,53,10,108,"bug, flying","swarm, early-bird, rattled","comet-punch, mega-punch, ice-punch, thunder-punch, swords-dance",40,20,30,40,80,55
166,Ledian,137,14,356,"bug, flying","swarm, early-bird, iron-fist","comet-punch, mega-punch, ice-punch, thunder-punch, swords-dance",55,35,50,55,110,85
167,Spinarak,50,5,85,"bug, poison","swarm, insomnia, sniper","body-slam, double-edge, poison-sting, twineedle, pin-missile",40,60,40,40,40,30
168,Ariados,140,11,335,"bug, poison","swarm, insomnia, sniper","swords-dance, body-slam, double-edge, poison-sting, pin-missile",70,90,70,60,70,40
169,Crobat,241,18,750,"poison, flying","inner-focus, infiltrator","gust, wing-attack, fly, double-edge, bite",85,90,80,70,80,130
170,Chinchou,66,5,120,"water, electric","volt-absorb, illuminate, water-absorb","take-down, double-edge, supersonic, mist, water-gun",75,38,38,56,56,67
171,Lanturn,161,12,225,"water, electric","volt-absorb, illuminate, water-absorb","take-down, double-edge, supersonic, mist, water-gun",125,58,58,76,76,67
172,Pichu,41,3,20,electric,"static, lightning-rod","double-slap, mega-punch, thunder-punch, mega-kick, headbutt",20,40,15,35,35,60
173,Cleffa,44,3,30,fairy,"cute-charm, magic-guard, friend-guard","pound, mega-punch, mega-kick, headbutt, tackle",50,25,28,45,55,15
174,Igglybuff,42,3,10,"normal, fairy","cute-charm, competitive, friend-guard","pound, mega-punch, mega-kick, headbutt, body-slam",90,30,15,40,20,15
175,Togepi,49,3,15,fairy,"hustle, serene-grace, super-luck","pound, mega-punch, mega-kick, headbutt, tackle",35,20,65,40,65,20
176,Togetic,142,6,32,"fairy, flying","hustle, serene-grace, super-luck","pound, mega-punch, fly, mega-kick, headbutt",55,40,85,80,105,40
177,Natu,64,2,20,"psychic, flying","synchronize, early-bird, magic-bounce","double-edge, leer, peck, drill-peck, solar-beam",40,50,45,70,45,70
178,Xatu,165,15,150,"psychic, flying","synchronize, early-bird, magic-bounce","fly, double-edge, leer, hyper-beam, peck",65,75,70,95,70,95
179,Mareep,56,6,78,electric,"static, plus","sand-attack, headbutt, tackle, body-slam, take-down",55,40,40,65,45,35
180,Flaaffy,128,8,133,electric,"static, plus","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",70,55,55,80,60,45
181,Ampharos,230,14,615,electric,"static, plus","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",90,75,85,115,90,55
182,Bellossom,221,4,58,grass,"chlorophyll, healer","swords-dance, cut, double-edge, acid, hyper-beam",75,80,95,90,100,50
183,Marill,88,4,85,"water, fairy","thick-fat, huge-power, sap-sipper","mega-punch, ice-punch, slam, mega-kick, headbutt",70,20,50,20,50,40
184,Azumarill,189,8,285,"water, fairy","thick-fat, huge-power, sap-sipper","mega-punch, ice-punch, slam, mega-kick, headbutt",100,50,80,60,80,50
185,Sudowoodo,144,12,380,rock,"sturdy, rock-head, rattled","mega-punch, fire-punch, ice-punch, thunder-punch, slam",70,100,115,30,65,30
186,Politoed,225,11,339,water,"water-absorb, damp, drizzle","pound, double-slap, mega-punch, ice-punch, mega-kick",90,75,75,90,100,70
187,Hoppip,50,4,5,"grass, flying","chlorophyll, leaf-guard, infiltrator","pay-day, swords-dance, headbutt, tackle, take-down",35,35,40,35,55,50
188,Skiploom,119,6,10,"grass, flying","chlorophyll, leaf-guard, infiltrator","swords-dance, headbutt, tackle, take-down, double-edge",55,45,50,45,65,80
189,Jumpluff,207,8,30,"grass, flying","chlorophyll, leaf-guard, infiltrator","swords-dance, headbutt, tackle, take-down, double-edge",75,55,70,55,95,110
190,Aipom,72,8,115,normal,"run-away, pickup, skill-link","double-slap, mega-punch, fire-punch, ice-punch, thunder-punch",55,70,55,40,55,85
191,Sunkern,36,3,18,grass,"chlorophyll, solar-power, early-bird","swords-dance, cut, tackle, take-down, double-edge",30,30,30,30,30,30
192,Sunflora,149,8,85,grass,"chlorophyll, solar-power, early-bird","pound, swords-dance, cut, tackle, take-down",75,75,55,105,85,30
193,Yanma,78,12,380,"bug, flying","speed-boost, compound-eyes, frisk","swords-dance, gust, wing-attack, whirlwind, headbutt",65,65,45,75,45,95
194,Wooper,42,4,85,"water, ground","damp, water-absorb, unaware","ice-punch, slam, double-kick, headbutt, body-slam",55,45,45,25,25,15
195,Quagsire,151,14,750,"water, ground","damp, water-absorb, unaware","mega-punch, ice-punch, slam, mega-kick, headbutt",95,85,85,65,65,35
196,Espeon,184,9,265,psychic,"synchronize, magic-bounce","pay-day, cut, sand-attack, headbutt, tackle",65,65,60,130,95,110
197,Umbreon,184,10,270,dark,"synchronize, inner-focus","pay-day, cut, sand-attack, headbutt, tackle",95,65,110,60,130,65
198,Murkrow,81,5,21,"dark, flying","insomnia, super-luck, prankster","gust, wing-attack, whirlwind, fly, take-down",60,85,42,85,42,91
